,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
630,9,5,3,35891,Color_Piel
631,9,5,4,20668,Color_Piel
632,9,5,5,132817,Color_Piel
633,9,5,6,52653,Color_Piel
634,9,5,7,79097,Color_Piel
635,9,5,8,52246,Color_Piel
636,9,5,10,7561,Color_Piel
637,9,6,1,1770,Color_Piel
638,9,6,2,8264,Color_Piel
639,9,6,3,26859,Color_Piel
640,9,6,4,35416,Color_Piel
641,9,6,5,42904,Color_Piel
642,9,6,6,64687,Color_Piel
643,9,6,7,41570,Color_Piel
644,9,6,8,48294,Color_Piel
645,9,6,9,1652,Color_Piel
646,9,7,2,4014,Color_Piel
647,9,7,3,1837,Color_Piel
648,9,7,4,16878,Color_Piel
649,9,7,5,114355,Color_Piel
650,9,7,6,44377,Color_Piel
651,9,7,7,60439,Color_Piel
652,9,7,8,67082,Color_Piel
653,9,7,9,12731,Color_Piel
654,9,8,1,7273,Color_Piel
655,9,8,2,1984,Color_Piel
656,9,8,3,5731,Color_Piel
657,9,8,4,9892,Color_Piel
658,9,8,5,71268,Color_Piel
659,9,8,6,65546,Color_Piel
660,9,8,7,62471,Color_Piel
661,9,8,8,68331,Color_Piel
662,9,8,9,1545,Color_Piel
663,9,8,10,14754,Color_Piel
664,9,9,2,9134,Color_Piel
665,9,9,4,7081,Color_Piel
666,9,9,5,18347,Color_Piel
667,9,9,6,12680,Color_Piel
668,9,9,7,43139,Color_Piel
669,9,9,8,36383,Color_Piel
670,9,9,9,2316,Color_Piel
671,9,10,1,582,Color_Piel
672,9,10,3,3520,Color_Piel
673,9,10,4,838,Color_Piel
674,9,10,5,26797,Color_Piel
675,9,10,6,7639,Color_Piel
676,9,10,7,21341,Color_Piel
677,9,10,8,15153,Color_Piel
678,9,10,9,5014,Color_Piel
679,9,10,10,17654,Color_Piel
680,10,1,1,109612,Color_Piel
681,10,1,2,55654,Color_Piel
682,10,1,3,109596,Color_Piel
683,10,1,4,51380,Color_Piel
684,10,1,5,96720,Color_Piel
685,10,1,6,27218,Color_Piel
686,10,1,7,20664,Color_Piel
687,10,1,8,18973,Color_Piel
688,10,1,10,8836,Color_Piel
689,10,2,1,29812,Color_Piel
690,10,2,2,18979,Color_Piel
691,10,2,3,34311,Color_Piel
692,10,2,4,65125,Color_Piel
693,10,2,5,103235,Color_Piel
694,10,2,6,26981,Color_Piel
695,10,2,7,48327,Color_Piel
696,10,2,8,16665,Color_Piel
697,10,3,1,13535,Color_Piel
698,10,3,2,30535,Color_Piel
699,10,3,3,28618,Color_Piel
700,10,3,4,60011,Color_Piel
701,10,3,5,171660,Color_Piel
702,10,3,6,60629,Color_Piel
703,10,3,7,11412,Color_Piel
704,10,3,8,4800,Color_Piel
705,10,3,9,3496,Color_Piel
706,10,4,1,2630,Color_Piel
707,10,4,2,17349,Color_Piel
708,10,4,3,22825,Color_Piel
709,10,4,4,19801,Color_Piel
710,10,4,5,78639,Color_Piel
711,10,4,6,101332,Color_Piel
712,10,4,7,51334,Color_Piel
713,10,4,8,25423,Color_Piel
714,10,4,9,2672,Color_Piel
715,10,4,10,934,Color_Piel
716,10,5,1,21354,Color_Piel
717,10,5,2,24480,Color_Piel
718,10,5,3,16197,Color_Piel
719,10,5,4,27168,Color_Piel
720,10,5,5,177189,Color_Piel
721,10,5,6,61209,Color_Piel
722,10,5,7,91957,Color_Piel
723,10,5,8,53394,Color_Piel
724,10,5,9,1825,Color_Piel
725,10,5,10,1024,Color_Piel
726,10,6,1,4771,Color_Piel
727,10,6,2,1753,Color_Piel
728,10,6,3,6200,Color_Piel
729,10,6,4,33143,Color_Piel
730,10,6,5,45422,Color_Piel
731,10,6,6,67851,Color_Piel
732,10,6,7,56355,Color_Piel
733,10,6,8,40327,Color_Piel
734,10,6,9,3800,Color_Piel
735,10,6,10,7345,Color_Piel
736,10,7,1,5823,Color_Piel
737,10,7,2,2833,Color_Piel
738,10,7,3,10176,Color_Piel
739,10,7,4,12708,Color_Piel
740,10,7,5,38263,Color_Piel
741,10,7,6,21039,Color_Piel
742,10,7,7,46868,Color_Piel
743,10,7,8,52429,Color_Piel
744,10,7,9,7298,Color_Piel
745,10,7,10,3586,Color_Piel
746,10,8,1,17708,Color_Piel
747,10,8,2,5152,Color_Piel
748,10,8,3,19301,Color_Piel
749,10,8,4,23397,Color_Piel
750,10,8,5,50367,Color_Piel
751,10,8,6,37752,Color_Piel
752,10,8,7,68958,Color_Piel
753,10,8,8,45131,Color_Piel
754,10,8,9,8066,Color_Piel
755,10,8,10,349,Color_Piel
756,10,9,2,5264,Color_Piel
757,10,9,3,177,Color_Piel
758,10,9,4,414,Color_Piel
759,10,9,5,24109,Color_Piel
760,10,9,6,41597,Color_Piel
761,10,9,7,39652,Color_Piel
762,10,9,8,35196,Color_Piel
763,10,9,9,3843,Color_Piel
